,일자,엘지종가,엘지타겟
0,2022-01-03,618000,0
1,2022-01-04,644000,1
2,2022-01-05,664000,1
3,2022-01-06,690000,1
4,2022-01-07,719000,1
5,2022-01-10,710000,0
6,2022-01-11,734000,1
7,2022-01-12,773000,1
8,2022-01-13,755000,0
9,2022-01-14,716000,0
10,2022-01-17,707000,0
11,2022-01-18,694000,0
12,2022-01-19,653000,0
13,2022-01-20,696000,1
14,2022-01-21,694000,0
15,2022-01-24,671000,0
16,2022-01-25,643000,0
17,2022-01-26,664000,1
18,2022-01-27,610000,0
19,2022-01-28,639000,1
20,2022-02-03,677000,1
21,2022-02-04,678000,1
22,2022-02-07,639000,0
23,2022-02-08,617000,0
24,2022-02-09,610000,0
25,2022-02-10,661000,1
26,2022-02-11,633000,0
27,2022-02-14,619000,0
28,2022-02-15,622000,1
29,2022-02-16,653000,1
30,2022-02-17,640000,0
31,2022-02-18,629000,0
32,2022-02-21,616000,0
33,2022-02-22,590000,0
34,2022-02-23,589000,0
35,2022-02-24,549000,0
36,2022-02-25,554000,1
37,2022-02-28,565000,1
38,2022-03-02,555000,0
39,2022-03-03,558000,1
40,2022-03-04,535000,0
41,2022-03-07,514000,0
42,2022-03-08,503000,0
43,2022-03-10,496500,0
44,2022-03-11,472000,0
45,2022-03-14,457000,0
46,2022-03-15,439000,0
47,2022-03-16,442000,1
48,2022-03-17,470000,1
49,2022-03-18,488500,1
50,2022-03-21,490000,1
51,2022-03-22,492000,1
52,2022-03-23,508000,1
53,2022-03-24,531000,1
54,2022-03-25,526000,0
55,2022-03-28,523000,0
56,2022-03-29,523000,0
57,2022-03-30,525000,1
58,2022-03-31,532000,1
59,2022-04-01,523000,0
60,2022-04-04,526000,1
61,2022-04-05,540000,1
62,2022-04-06,530000,0
63,2022-04-07,518000,0
64,2022-04-08,525000,1
65,2022-04-11,510000,0
66,2022-04-12,505000,0
67,2022-04-13,518000,1
68,2022-04-14,514000,0
69,2022-04-15,505000,0
70,2022-04-18,500000,0
71,2022-04-19,503000,1
72,2022-04-20,505000,1
73,2022-04-21,503000,0
74,2022-04-22,486000,0
75,2022-04-25,486000,0
76,2022-04-26,475000,0
77,2022-04-27,463000,0
78,2022-04-28,502000,1
79,2022-04-29,519000,1
80,2022-05-02,526000,1
81,2022-05-03,517000,0
82,2022-05-04,518000,1
83,2022-05-06,520000,1
84,2022-05-09,504000,0
85,2022-05-10,501000,0
86,2022-05-11,520000,1
87,2022-05-12,485500,0
88,2022-05-13,510000,1
89,2022-05-16,507000,0
90,2022-05-17,505000,0
91,2022-05-18,512000,1
92,2022-05-19,502000,0
93,2022-05-20,545000,1
94,2022-05-23,543000,0
95,2022-05-24,539000,0
96,2022-05-25,534000,0
97,2022-05-26,534000,0
98,2022-05-27,550000,1
99,2022-05-30,557000,1
100,2022-05-31,585000,1
101,2022-06-02,570000,0
102,2022-06-03,585000,1
103,2022-06-07,556000,0
104,2022-06-08,581000,1
105,2022-06-09,589000,1
106,2022-06-10,583000,0
107,2022-06-13,562000,0
108,2022-06-14,564000,1
109,2022-06-15,561000,0
110,2022-06-16,584000,1
111,2022-06-17,578000,0
112,2022-06-20,572000,0
113,2022-06-21,568000,0
114,2022-06-22,553000,0
115,2022-06-23,551000,0
116,2022-06-24,543000,0
117,2022-06-27,545000,1
118,2022-06-28,570000,1
119,2022-06-29,530000,0
120,2022-06-30,516000,0
121,2022-07-01,509000,0
122,2022-07-04,500000,0
123,2022-07-05,512000,1
124,2022-07-06,506000,0
125,2022-07-07,524000,1
126,2022-07-08,540000,1
127,2022-07-11,522000,0
128,2022-07-12,514000,0
129,2022-07-13,517000,1
130,2022-07-14,530000,1
131,2022-07-15,512000,0
132,2022-07-18,515000,1
133,2022-07-19,521000,1
134,2022-07-20,540000,1
135,2022-07-21,569000,1
136,2022-07-22,561000,0
137,2022-07-25,556000,0
138,2022-07-26,567000,1
139,2022-07-27,565000,0
140,2022-07-28,598000,1
141,2022-07-29,603000,1
142,2022-08-01,613000,1
143,2022-08-02,610000,0
144,2022-08-03,614000,1
145,2022-08-04,609000,0
146,2022-08-05,642000,1
147,2022-08-08,652000,1
148,2022-08-09,671000,1
149,2022-08-10,648000,0
150,2022-08-11,658000,1
151,2022-08-12,665000,1
152,2022-08-16,662000,0
153,2022-08-17,658000,0
154,2022-08-18,651000,0
155,2022-08-19,640000,0
156,2022-08-22,639000,0
157,2022-08-23,620000,0
158,2022-08-24,614000,0
159,2022-08-25,616000,1
160,2022-08-26,616000,0
161,2022-08-29,604000,0
162,2022-08-30,611000,1
163,2022-08-31,632000,1
164,2022-09-01,623000,0
165,2022-09-02,610000,0
166,2022-09-05,616000,1
167,2022-09-06,619000,1
168,2022-09-07,623000,1
169,2022-09-08,644000,1
170,2022-09-13,665000,1
171,2022-09-14,663000,0
172,2022-09-15,658000,0
173,2022-09-16,635000,0
174,2022-09-19,635000,0
175,2022-09-20,630000,0
176,2022-09-21,625000,0
177,2022-09-22,626000,1
178,2022-09-23,604000,0
179,2022-09-26,571000,0
180,2022-09-27,569000,0
181,2022-09-28,546000,0
182,2022-09-29,547000,1
183,2022-09-30,536000,0
184,2022-10-04,555000,1
185,2022-10-05,560000,1
186,2022-10-06,583000,1
187,2022-10-07,589000,1
188,2022-10-11,597000,1
189,2022-10-12,591000,0
190,2022-10-13,575000,0
191,2022-10-14,573000,0
192,2022-10-17,575000,1
193,2022-10-18,611000,1
194,2022-10-19,593000,0
195,2022-10-20,569000,0
196,2022-10-21,568000,0
197,2022-10-24,575000,1
198,2022-10-25,552000,0
199,2022-10-26,562000,1
200,2022-10-27,599000,1
201,2022-10-28,615000,1
202,2022-10-31,626000,1
203,2022-11-01,695000,1
204,2022-11-02,672000,0
205,2022-11-03,683000,1
206,2022-11-04,690000,1
207,2022-11-07,704000,1
208,2022-11-08,691000,0
209,2022-11-09,715000,1
210,2022-11-10,695000,0
211,2022-11-11,737000,1
212,2022-11-14,726000,0
213,2022-11-15,710000,0
214,2022-11-16,707000,0
215,2022-11-17,700000,0
216,2022-11-18,704000,1
217,2022-11-21,682000,0
218,2022-11-22,687000,1
219,2022-11-23,701000,1
220,2022-11-24,728000,1
221,2022-11-25,721000,0
222,2022-11-28,719000,0
223,2022-11-29,715000,0
224,2022-11-30,740000,1
225,2022-12-01,722000,0
226,2022-12-02,711000,0
227,2022-12-05,696000,0
228,2022-12-06,686000,0
229,2022-12-07,679000,0
230,2022-12-08,670000,0
231,2022-12-09,627000,0
232,2022-12-12,628000,1
233,2022-12-13,623000,0
234,2022-12-14,646000,1
235,2022-12-15,643000,0
236,2022-12-16,645000,1
237,2022-12-19,633000,0
238,2022-12-20,631000,0
239,2022-12-21,620000,0
240,2022-12-22,626000,1
241,2022-12-23,610000,0
242,2022-12-26,618000,1
243,2022-12-27,628000,1
244,2022-12-28,602000,0
245,2022-12-29,600000,0
246,2023-01-02,604000,1
247,2023-01-03,601000,0
248,2023-01-04,601000,0
249,2023-01-05,581000,0
250,2023-01-06,594000,1
251,2023-01-09,624000,1
252,2023-01-10,629000,1
253,2023-01-11,634000,1
254,2023-01-12,637000,1
255,2023-01-13,644000,1
256,2023-01-16,638000,0
257,2023-01-17,619000,0
258,2023-01-18,613000,0
259,2023-01-19,621000,1
260,2023-01-20,625000,1
261,2023-01-25,652000,1
262,2023-01-26,685000,1
263,2023-01-27,685000,0
264,2023-01-30,683000,0
265,2023-01-31,690000,1
266,2023-02-01,688000,0
267,2023-02-02,676000,0
268,2023-02-03,674000,0
269,2023-02-06,658000,0
270,2023-02-07,681000,1
271,2023-02-08,672000,0
272,2023-02-09,680000,1
273,2023-02-10,673000,0
274,2023-02-13,670000,0
275,2023-02-14,676000,1
276,2023-02-15,674000,0
277,2023-02-16,717000,1
278,2023-02-17,689000,0
279,2023-02-20,667000,0
280,2023-02-21,687000,1
281,2023-02-22,666000,0
282,2023-02-23,668000,1
283,2023-02-24,669000,1
284,2023-02-27,657000,0
285,2023-02-28,680000,1
286,2023-03-02,678000,0
287,2023-03-03,703000,1
288,2023-03-06,726000,1
289,2023-03-07,740000,1
290,2023-03-08,715000,0
291,2023-03-09,710000,0
292,2023-03-10,707000,0
293,2023-03-13,718000,1
294,2023-03-14,705000,0
295,2023-03-15,721000,1
296,2023-03-16,730000,1
297,2023-03-17,702000,0
298,2023-03-20,683000,0
299,2023-03-21,677000,0
300,2023-03-22,703000,1
301,2023-03-23,712000,1
302,2023-03-24,690000,0
303,2023-03-27,698000,1
304,2023-03-28,704000,1
305,2023-03-29,705000,1
306,2023-03-30,696000,0
307,2023-03-31,712000,1
308,2023-04-03,712000,0
309,2023-04-04,722000,1
310,2023-04-05,732000,1
311,2023-04-06,716000,0
312,2023-04-07,714000,0
313,2023-04-10,750000,1
314,2023-04-11,806000,1
315,2023-04-12,775000,0
316,2023-04-13,802000,1
317,2023-04-14,802000,0
318,2023-04-17,805000,1
319,2023-04-18,825000,1
320,2023-04-19,790000,0
321,2023-04-20,800000,1
322,2023-04-21,771000,0
323,2023-04-24,767000,0
324,2023-04-25,742000,0
325,2023-04-26,727000,0
326,2023-04-27,741000,1
327,2023-04-28,740000,0
328,2023-05-02,746000,1
329,2023-05-03,726000,0
330,2023-05-04,731000,1
331,2023-05-08,726000,0
332,2023-05-09,722000,0
333,2023-05-10,709000,0
334,2023-05-11,691000,0
335,2023-05-12,688000,0
336,2023-05-15,691000,1
337,2023-05-16,695000,1
338,2023-05-17,709000,1
339,2023-05-18,709000,0
340,2023-05-19,698000,0
341,2023-05-22,700000,1
342,2023-05-23,719000,1
343,2023-05-24,720000,1
344,2023-05-25,712000,0
345,2023-05-26,706000,0
346,2023-05-30,702000,0
347,2023-05-31,693000,0
