,일자,대한종가,대한타겟
0,2022/01/03,29500,0
1,2022/01/04,29100,0
2,2022/01/05,28900,0
3,2022/01/06,28450,0
4,2022/01/07,28600,1
5,2022/01/10,28100,0
6,2022/01/11,28100,0
7,2022/01/12,28500,1
8,2022/01/13,28800,1
9,2022/01/14,28900,1
10,2022/01/17,28250,0
11,2022/01/18,28050,0
12,2022/01/19,27550,0
13,2022/01/20,27900,1
14,2022/01/21,27700,0
15,2022/01/24,26900,0
16,2022/01/25,26250,0
17,2022/01/26,27200,1
18,2022/01/27,26650,0
19,2022/01/28,28300,1
20,2022/02/03,28650,1
21,2022/02/04,29600,1
22,2022/02/07,29800,1
23,2022/02/08,29850,1
24,2022/02/09,30250,1
25,2022/02/10,30250,0
26,2022/02/11,30150,0
27,2022/02/14,29900,0
28,2022/02/15,28950,0
29,2022/02/16,30000,1
30,2022/02/17,30050,1
31,2022/02/18,29900,0
32,2022/02/21,30050,1
33,2022/02/22,29750,0
34,2022/02/23,29600,0
35,2022/02/24,28700,0
36,2022/02/25,28900,1
37,2022/02/28,29300,1
38,2022/03/02,28650,0
39,2022/03/03,28800,1
40,2022/03/04,28550,0
41,2022/03/07,27550,0
42,2022/03/08,27100,0
43,2022/03/10,27900,1
44,2022/03/11,28600,1
45,2022/03/14,28700,1
46,2022/03/15,29250,1
47,2022/03/16,30350,1
48,2022/03/17,30350,0
49,2022/03/18,30450,1
50,2022/03/21,29950,0
51,2022/03/22,29950,0
52,2022/03/23,29850,0
53,2022/03/24,30000,1
54,2022/03/25,29750,0
55,2022/03/28,29750,0
56,2022/03/29,29900,1
57,2022/03/30,30150,1
58,2022/03/31,30200,1
59,2022/04/01,31200,1
60,2022/04/04,31950,1
61,2022/04/05,32000,1
62,2022/04/06,32200,1
63,2022/04/07,31800,0
64,2022/04/08,31650,0
65,2022/04/11,31100,0
66,2022/04/12,31150,1
67,2022/04/13,31300,1
68,2022/04/14,31550,1
69,2022/04/15,31450,0
70,2022/04/18,31300,0
71,2022/04/19,31350,1
72,2022/04/20,31450,1
73,2022/04/21,31800,1
74,2022/04/22,31300,0
75,2022/04/25,29950,0
76,2022/04/26,30300,1
77,2022/04/27,29800,0
78,2022/04/28,29950,1
79,2022/04/29,30150,1
80,2022/05/02,29950,0
81,2022/05/03,30000,1
82,2022/05/04,29850,0
83,2022/05/06,30500,1
84,2022/05/09,29600,0
85,2022/05/10,29350,0
86,2022/05/11,29400,1
87,2022/05/12,28450,0
88,2022/05/13,29150,1
89,2022/05/16,28900,0
90,2022/05/17,28900,0
91,2022/05/18,29450,1
92,2022/05/19,28750,0
93,2022/05/20,28800,1
94,2022/05/23,28750,0
95,2022/05/24,28650,0
96,2022/05/25,28500,0
97,2022/05/26,28600,1
98,2022/05/27,29450,1
99,2022/05/30,29400,0
100,2022/05/31,29050,0
101,2022/06/02,28950,0
102,2022/06/03,29300,1
103,2022/06/07,28850,0
104,2022/06/08,28650,0
105,2022/06/09,28500,0
106,2022/06/10,27900,0
107,2022/06/13,27000,0
108,2022/06/14,27750,1
109,2022/06/15,26900,0
110,2022/06/16,26700,0
111,2022/06/17,26800,1
112,2022/06/20,25500,0
113,2022/06/21,26050,1
114,2022/06/22,24900,0
115,2022/06/23,24650,0
116,2022/06/24,25000,1
117,2022/06/27,25250,1
118,2022/06/28,25400,1
119,2022/06/29,25400,0
120,2022/06/30,25200,0
121,2022/07/01,25400,1
122,2022/07/04,25100,0
123,2022/07/05,25450,1
124,2022/07/06,25700,1
125,2022/07/07,25650,0
126,2022/07/08,25150,0
127,2022/07/11,24150,0
128,2022/07/12,23650,0
129,2022/07/13,24750,1
130,2022/07/14,24850,1
131,2022/07/15,24350,0
132,2022/07/18,25200,1
133,2022/07/19,25200,0
134,2022/07/20,25500,1
135,2022/07/21,25350,0
136,2022/07/22,24950,0
137,2022/07/25,25100,1
138,2022/07/26,25050,0
139,2022/07/27,25200,1
140,2022/07/28,24950,0
141,2022/07/29,25300,1
142,2022/08/01,25100,0
143,2022/08/02,25000,0
144,2022/08/03,25100,1
145,2022/08/04,26400,1
146,2022/08/05,25750,0
147,2022/08/08,25650,0
148,2022/08/09,25900,1
149,2022/08/10,25550,0
150,2022/08/11,25950,1
151,2022/08/12,26200,1
152,2022/08/16,26600,1
153,2022/08/17,27000,1
154,2022/08/18,26500,0
155,2022/08/19,26200,0
156,2022/08/22,25850,0
157,2022/08/23,25300,0
158,2022/08/24,25900,1
159,2022/08/25,26200,1
160,2022/08/26,26350,1
161,2022/08/29,25550,0
162,2022/08/30,26100,1
163,2022/08/31,26850,1
164,2022/09/01,26150,0
165,2022/09/02,26150,0
166,2022/09/05,25550,0
167,2022/09/06,25600,1
168,2022/09/07,25300,0
169,2022/09/08,25300,0
170,2022/09/13,26400,1
171,2022/09/14,26000,0
172,2022/09/15,25650,0
173,2022/09/16,25900,1
174,2022/09/19,25050,0
175,2022/09/20,25850,1
176,2022/09/21,25900,1
177,2022/09/22,25550,0
178,2022/09/23,24100,0
179,2022/09/26,22650,0
180,2022/09/27,23150,1
181,2022/09/28,22300,0
182,2022/09/29,22100,0
183,2022/09/30,22100,0
184,2022/10/04,21700,0
185,2022/10/05,21900,1
186,2022/10/06,21950,1
187,2022/10/07,22450,1
188,2022/10/11,21400,0
189,2022/10/12,22100,1
190,2022/10/13,20700,0
191,2022/10/14,21050,1
192,2022/10/17,21350,1
193,2022/10/18,22550,1
194,2022/10/19,23200,1
195,2022/10/20,22750,0
196,2022/10/21,21700,0
197,2022/10/24,22000,1
198,2022/10/25,21750,0
199,2022/10/26,21950,1
200,2022/10/27,22900,1
201,2022/10/28,23150,1
202,2022/10/31,23100,0
203,2022/11/01,23450,1
204,2022/11/02,22850,0
205,2022/11/03,22800,0
206,2022/11/04,23950,1
207,2022/11/07,24100,1
208,2022/11/08,24650,1
209,2022/11/09,24700,1
210,2022/11/10,24550,0
211,2022/11/11,26500,1
212,2022/11/14,25800,0
213,2022/11/15,26150,1
214,2022/11/16,25750,0
215,2022/11/17,25300,0
216,2022/11/18,25200,0
217,2022/11/21,25150,0
218,2022/11/22,24300,0
219,2022/11/23,25100,1
220,2022/11/24,25050,0
221,2022/11/25,25050,0
222,2022/11/28,24550,0
223,2022/11/29,25200,1
224,2022/11/30,25450,1
225,2022/12/01,25500,1
226,2022/12/02,25000,0
227,2022/12/05,25650,1
228,2022/12/06,25150,0
229,2022/12/07,26050,1
230,2022/12/08,26000,0
231,2022/12/09,26050,1
232,2022/12/12,25600,0
233,2022/12/13,25550,0
234,2022/12/14,25250,0
235,2022/12/15,24850,0
236,2022/12/16,24700,0
237,2022/12/19,24600,0
238,2022/12/20,24450,0
239,2022/12/21,24550,1
240,2022/12/22,24900,1
241,2022/12/23,24400,0
242,2022/12/26,24300,0
243,2022/12/27,24200,0
244,2022/12/28,24300,1
245,2022/12/29,22950,0
246,2023/01/02,22700,0
247,2023/01/03,22600,0
248,2023/01/04,23050,1
249,2023/01/05,23250,1
250,2023/01/06,23150,0
251,2023/01/09,23850,1
252,2023/01/10,23700,0
253,2023/01/11,23700,0
254,2023/01/12,23600,0
255,2023/01/13,24400,1
256,2023/01/16,24400,0
257,2023/01/17,24450,1
258,2023/01/18,24750,1
259,2023/01/19,24700,0
260,2023/01/20,24500,0
261,2023/01/25,24300,0
262,2023/01/26,24350,1
263,2023/01/27,24800,1
264,2023/01/30,24300,0
265,2023/01/31,24250,0
266,2023/02/01,24350,1
267,2023/02/02,24000,0
268,2023/02/03,23850,0
269,2023/02/06,23750,0
270,2023/02/07,23450,0
271,2023/02/08,23650,1
272,2023/02/09,23650,0
273,2023/02/10,23400,0
274,2023/02/13,23450,1
275,2023/02/14,23300,0
276,2023/02/15,23100,0
277,2023/02/16,23400,1
278,2023/02/17,23650,1
279,2023/02/20,23450,0
280,2023/02/21,23500,1
281,2023/02/22,23000,0
282,2023/02/23,23050,1
283,2023/02/24,23050,0
284,2023/02/27,23050,0
285,2023/02/28,22750,0
286,2023/03/02,23500,1
287,2023/03/03,23400,0
288,2023/03/06,23700,1
289,2023/03/07,23450,0
290,2023/03/08,23800,1
291,2023/03/09,23550,0
292,2023/03/10,23100,0
293,2023/03/13,23150,1
294,2023/03/14,22250,0
295,2023/03/15,22150,0
296,2023/03/16,22350,1
297,2023/03/17,22700,1
298,2023/03/20,22750,1
299,2023/03/21,22700,0
300,2023/03/22,22700,0
301,2023/03/23,22750,1
302,2023/03/24,22800,1
303,2023/03/27,22550,0
304,2023/03/28,22700,1
305,2023/03/29,23000,1
306,2023/03/30,23400,1
307,2023/03/31,23200,0
308,2023/04/03,23150,0
309,2023/04/04,23150,0
310,2023/04/05,23000,0
311,2023/04/06,22800,0
312,2023/04/07,22750,0
313,2023/04/10,22700,0
314,2023/04/11,23050,1
315,2023/04/12,23100,1
316,2023/04/13,23250,1
317,2023/04/14,23150,0
318,2023/04/17,23350,1
319,2023/04/18,23200,0
320,2023/04/19,23450,1
321,2023/04/20,23550,1
322,2023/04/21,23250,0
323,2023/04/24,22950,0
324,2023/04/25,22700,0
325,2023/04/26,22650,0
326,2023/04/27,22650,0
327,2023/04/28,22850,1
328,2023/05/02,23100,1
329,2023/05/03,22950,0
330,2023/05/04,22850,0
331,2023/05/08,22850,0
332,2023/05/09,22700,0
333,2023/05/10,22650,0
334,2023/05/11,22800,1
335,2023/05/12,22700,0
336,2023/05/15,22600,0
337,2023/05/16,22500,0
338,2023/05/17,22500,0
339,2023/05/18,22300,0
340,2023/05/19,22350,1
341,2023/05/22,22600,1
342,2023/05/23,22550,0
343,2023/05/24,22350,0
344,2023/05/25,22050,0
345,2023/05/26,21900,0
346,2023/05/30,22100,1
347,2023/05/31,22100,0
